name,r1,r2
ms_613,YYYYYYYXyyyyyyx,YYYXYxyX
ms_614,YYYYYYYXyyyyyyx,YYYxyXYX
ms_615,YYYYYYYXyyyyyyx,YYYxYXYX
ms_616,YYYYYYYYXyyyyyyyx,YXXyx
ms_617,YYYYYYYYXyyyyyyyx,YXyxx
ms_618,YYYYYYYYXyyyyyyyx,YXyXyx
ms_619,YYYYYYYYXyyyyyyyx,YXYXyx
ms_620,YYYYYYYYXyyyyyyyx,YXyxYx
ms_621,YYYYYYYYXyyyyyyyx,YXYxyX
ms_622,YYYYYYYYXyyyyyyyx,YYxyXYx
ms_623,YYYYYYYYXyyyyyyyx,YYXyxYX
ms_624,YYYYYYYYXyyyyyyyx,YYxYXyx
ms_625,YYYYYYYYXyyyyyyyx,YYXYxyX
ms_626,YYYYYYYYXyyyyyyyx,YYYYXYxx
ms_627,YYYYYYYYXyyyyyyyx,YYYYXXyx
ms_628,YYYYYYYYXyyyyyyyx,YYXyXyyx
ms_629,YYYYYYYYXyyyyyyyx,YYXYXyyx
ms_630,YYYYYYYYXyyyyyyyx,YYXyyxYx
ms_631,YYYYYYYYXyyyyyyyx,YYYYXyxx
ms_632,YYYYYYYYXyyyyyyyx,YYYYXXYx
ms_633,YYYYYYYYXyyyyyyyx,YYXyyxyx
ms_634,YYYYYYYXyyyyyyx,YYYXyyxx
ms_635,YYYYYYYXyyyyyyx,YYYXXyyx
ms_636,YYYYYYYYXyyyyyyyx,YYYXYxyX
ms_637,YYYYYYYYXyyyyyyyx,YYYXyxYX
ms_638,YYYYYYYYXyyyyyyyx,YYYxyXYx
ms_639,YYYYYYYYXyyyyyyyx,YYYxYXyx
